pair_id,prompt_hash,response1_index,response2_index,response1_hash,response2_hash,label_response2_preferred,helpfulness_difference
aaa31ea6cb72d684a3ef5da71a52e5a889fba80dc6f0ec8f7dfc6bba202b0731,0074e23457ea4ebf90195c7a0ec204978b4d3b6dd6299048fbcbb487247e14ed,990,991,e3c5f98348ec6aaf796b544cc6352bf15fa3278e1cd2ba8c43ff15451d47edf2,539b062ebb5f5438cf005393366c87215d9f9c022a5a418a8cadf0d77a1b3943,0,-2
31e2632286055500cbe4269b88db9975c01ff5f04baa5bcb4b8d63822c83654a,01b075515f0fcfef7d5ef5cac634a85b9a485c920d6cdbf2a6a2e758b6791b04,201,200,147b1a91fb718cdc1e0f9b36f830b6ad5801e38f447333afdb090e98ad83fc60,886c47f6dc82370ad0c05b0f170a8971e8ec9442a0f21749df526529d2f56cf9,0,-3
3d06230c406fb77e3e1ce5f4ba132d32929a4aca4cd8364f0b7c333168233589,01b5514a53d9bbebfb8fdf44baf7af23158c02cf96fc98ef711f88938b7cc1e5,524,525,5d17517a84174052d78bbe546024a98ad9ed13661fdb8986af831ee38c8737e1,906f3dfbb31232f7e3f3c530158363cca5ac62a395f40c3383dc79795104ed55,1,2
7ba7ba04d2466e1c4c6495f8e5bd71808af86b26f6d03dd26cf0238e0bebe756,01d9d93cfb573963174be0e7cf47c9b79cc123f205aec938c33b9d3a380cfa65,574,575,6e67ea6d393589e57eb3685f29d621f5bfc1c7fb6cdf78e34f644d4204c0b871,8fc6ca09a482d37a9519cde2f2ea2e8bd989aa7ca6e2e19c2a9bab32b68622c4,1,2
f03b083dea4e17bec5bc70df4eab663acae72ab74d35ee4ee9178803a03800bc,0460793a401130af59a7d9e8ccbc70aabb8a8e826e1654240598bc9521e57c12,371,370,f31c498b3701459d819e47b27a8b71f3daceeb5ad819af0b8a2249e89b507ff5,585e06c5ea3018cbd88552836f7d1f7fc97a75a2ebae9c50a96a9219c9b4fe7b,1,1
994db336bdfb687d23628d114b5845876b09119ebe6d489f3d18c7f28f7c892e,057673847bc4ce78c7ffc8ee67e18aca2f00b32d6ffd701bc7d04519f5d81f6b,655,654,3afb9b0a95de979bf1cd60758a3ea8c904e7691f55bfed81485f353fd4bf9ac6,b78b42be1054e7edbb996040212cea5318d08591f61cc2e9ae7e21801ade00aa,0,-2
94c3f8168b187d290fcc0663c3d6a627f85ee2c66339302e37acfc004df30b01,05c38fae385ee53b3bb2686f8d6ed78455ed9a80bbd992ffc7ada248ce358dab,326,327,6606a189ed485da9a8c9a98d0af44e5f8950dacb93682dfe88d4c8575631c410,9b8aa609bbd94d51b7807b8e4cd74a644503885b45d05d6a41c6ae5167c03375,1,1
fb35e03b8d99f72defad0be4ca16f0a10dec1b1066357a308abe6f717dfe9191,06ca4408c34cbb845c9b9189003d4bcccface3adb1e64a1bee4ff189bd202015,607,606,ed41b2c7a58022193dd88ab74233e1c83277b9532a1749d3e4923347d6c7421f,58b7d7914ceb00d8557ac76f0f9d8eaf7a54a710e3d016ed7d300e3fe4e7695d,0,-2
8363943e0af008d80268823eacdb8a09c0d4572fcec44c35031dcdcd8a4f437a,077c4c0a37a345bd71f7f704eee0a5dcaa1af210c4020c7477ed57274bc6e781,590,591,40ea518a538d084b35ff0d3a5809a220af4c9f7be96ce446d12645d5be1732fa,79ff4cbda2d3e8b87e06d2e70d0182fb82783ff09e3f93ca67887d601ac7985c,1,1
1b50de029bb8a81bcf5f5b97a68fe6105f37b64a5899b7ce9a077387bf2fc934,07b0606ecc3547f047a4f7564fe50c438bedffe430cec10286540b7e5da24b37,454,455,c1e2ae2c1a4adab7055fef8291a1b25179c774c91092bfb55ee5aeb5e6fe4356,c4cec84006aa561a6328a4db8157c73bd673961f99efe760547427a979c0ae38,1,1
ae611c0d5170d9e846129af2bc488e8c5fb83b7f29d55d0af71b022dc46f0e22,08172d7ded87f511466086e48cf9fdcdcf3f709ec020a6bf3f9ce98ce5c29e1e,719,718,05bb83270b07a85990bc4c6e1625ef84677c1ca9e56411bbf893f768e5de3b7c,651d511e141a5db9c0bf38037fae5f97f6753978836596c806085a90f0caf5fb,0,-2
9e0d99ff8754e303b9cddf1dfdcc5c88f6ab3fdeb4ece1a34d5c58b85522b1df,082630be4e238be03993dc0b64127cdc9e4909177dd373c5824deed07a0da979,841,840,37538fb7e6609bb2d4f8f30ec9e65b73c06870089d7cb57fa4722b7ae39de192,a0b61a2d2afa726860ce9c24c32369dc771e030519da8aa67c6c4e206311e25d,0,-2
73f2b7ff5dc3cb9341198919ce291a2473ef733e9e98c922a518af88a1b21d15,09d7726cfb89e597432469b0a3fc2dfd52be2223ca7cf4bc47b91d7c37df5e2a,685,684,d559e544f825547b5c40c019449560863c853867fbb4260f2f0953d1a4f62a10,8889c48e1a13844976794ac8aba154791d5ce4d17b9b091852af661c631f2bee,0,-2
7764ad65fbd13c3769a9e3f41ec4e4ff4a10246d883b613e70694341f985e632,09f3c50a569f38f152e8fb59611d6cb0257e9e37bb5d5f960422d8ee8d696bff,610,611,d4242ceedb2a453f145142ead425d4d713fc4425a2c66e68ee47f5efc8f53b04,b4c4137df43da57ba77a3b2fc0548c19bdf0be2cfd96ff17a640a41267767ee7,0,-1
a7382146913f8b3d19a8a5c8d5ae0f1dd14a01b853650eef6081bcb926899f52,0a09623a35dc0e55c55fd6e7b84963386ed798c89bbd43388ba01907486ceb54,233,232,9548236655fc4919edbc04102b6371353feaa5441ce48c678ce394aa53ca5542,9df2663a151586fc346df7ad47572305db3ef8198f3d9e785c3217e68a572d27,0,-1
f15a4aff20ab883723599e9210a585ba0a24e7d25acc03fbe7fcfe04d6379be2,0a815ce2d83b48a81cd0d9414817d3aa749d1bc1e2570dea7131741533713582,298,299,e56c2e76b07d990581a058698aad7af56ba9aa4554fdb11379693b066e5388ef,7400ad871d0ee1de0b47e110bee8ebbb6d1f0ddab12387af3d30ea4808d1bd1b,1,3
4f8bd9d816f2e5a0ec6ad19ed0e036a64f0c45b40fcf0dc07208ffccf89c0e3e,0b898b9b8aaecc4bedfcecfec8c01ff23894cbe904bbf3b442b57088d0e24785,16,17,8de4ade012f28b85445edcfee4468aad5060098885da7c42db3cc9991a12ef73,9977c930bd50eedcdcd753363d3ae760ba28bc6f2039af2fa17578d19319b0f7,0,-3
4c40fe004f5b3fec58730e1f92bdc532000a7f3808e080a890af0862fc495f66,0c4816d376214db8fa92b3ae2b5ced9d886a976b3091bfdacda8375e4bb68cc7,945,944,7f7ed85abf7aa844caa53969e30f2c06c683d9f74233527512a042841efbabfd,d3436705baa42aab96b9b6ba26d532398b6cb5a5d47546a88919dceed1b171df,1,3
f21957e339073b72b6fe4a0df64bc2f5d17fdc7902c23431bef17becd8cfc84f,0cd461df866bcdc0a552a1143913cc5402ba148870bfac79012e815fd1280041,563,562,b765ea07e613acdeb3b7bf40021d9d8802b69d071f36c5f09e69facb83794930,3e816b3a3080587b91f5888fa1ddf7bf13307a64778d952abb40e27bb7445c0d,1,2
6b9c216c316725e40a42bfb21ac9e3e117ac4f4b63cc50d6ca39014b9f3c8f82,0d1bedcefda04d60852383a8be650f133ff4bbcbcea55e25bd5b8ac4e2baf5f5,937,936,a443d6659edd72878889359249276b742f97a6c9b73647178a835b136ecb018c,bdd619bcc9b6a3485618f2b720edf42d9e20eda0fd0e7df8cdfd4b0a20765e90,0,-1
2d820df04ac44f761e9df72f29858a7c767ea862d4ef71cbd6b7954535ff2c6a,101548b62c2977f72e24b4fab110c3a956f09033e0aaca397db9f88e9f9560a4,622,623,677e2a3b895b0798e2e4a42d67c3cae1262ea7a830ae19ec7186ca44f11e3097,9ea641163c78fa63b891a638cd57ee1c24b987489be4b18bb0657ec1ac2389c8,0,-4
